exp_id,name,member,env,policy,lr,gamma,batch_size,eps_start,eps_end,eps_decay,n_envs,timesteps,n_episodes,mean_reward,max_reward,last20_mean,elapsed_s,noted_behavior
1,Exp1_Baseline,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,4,100000,30,-21.67,-9.0,-20.65,708.1,"n_ep=30, mean=-21.67, max=-9.0, last20=-20.65. Balanced default — reference point for all other runs"
2,Exp2_AggressiveLR,Kariza,ALE/Tennis-v5,CnnPolicy,0.001,0.95,64,1.0,0.05,0.1,4,100000,27,-22.33,-11.0,-21.85,1125.2,"n_ep=27, mean=-22.33, max=-11.0, last20=-21.85. High lr + lower gamma — fast aggressive learning, likely unstable"
3,Exp3_LowLR,Kariza,ALE/Tennis-v5,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.1,4,100000,34,-21.21,-9.0,-19.55,727.8,"n_ep=34, mean=-21.21, max=-9.0, last20=-19.55. Very low lr — slow convergence expected, minimal improvement"
4,Exp4_LowGamma,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.9,32,1.0,0.05,0.1,4,100000,31,-21.35,-3.0,-20.1,706.2,"n_ep=31, mean=-21.35, max=-3.0, last20=-20.1. Short-sighted agent — prioritises immediate point gains in tennis"
5,Exp5_HighGamma,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,4,100000,34,-23.32,-16.0,-23.2,678.1,"n_ep=34, mean=-23.32, max=-16.0, last20=-23.2. Far-sighted — values long rallies and match-winning strategy"
6,Exp6_LargeBatch,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,4,100000,30,-21.37,-8.0,-20.2,1645.5,"n_ep=30, mean=-21.37, max=-8.0, last20=-20.2. Smoother gradient updates — more stable but slower per update"
7,Exp7_SmallBatch,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.99,16,1.0,0.05,0.1,4,100000,44,-21.98,-1.0,-19.9,464.1,"n_ep=44, mean=-21.98, max=-1.0, last20=-19.9. Noisy gradients from small batch — high variance expected"
8,Exp8_HighEpsilonEnd,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.99,32,1.0,0.2,0.1,4,100000,51,-23.78,-22.0,-23.85,628.6,"n_ep=51, mean=-23.78, max=-22.0, last20=-23.85. Keeps 20% random exploration forever — reduced exploitation"
9,Exp9_SlowEpsilonDecay,Kariza,ALE/Tennis-v5,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.5,4,100000,90,-23.78,-22.0,-23.8,630.6,"n_ep=90, mean=-23.78, max=-22.0, last20=-23.8. Explores for 50% of training — broader strategy search"
10,Exp10_BestGuess,Kariza,ALE/Tennis-v5,CnnPolicy,0.0005,0.995,64,1.0,0.05,0.15,4,100000,36,-22.75,-2.0,-22.1,991.6,"n_ep=36, mean=-22.75, max=-2.0, last20=-22.1. Combined tuning — moderate lr boost, near-infinite horizon, larger batch"
